Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
149,"Saturday, Sep 14",boxscore,SEA,,TEX,W-wo,5,4,,76-73,2,4.5,Muñoz,Leclerc,,2:42,N,"33,629",0.78,++,
150,"Sunday, Sep 15",boxscore,SEA,,TEX,W,7,0,,77-73,2,4.5,Kirby,Heaney,,2:17,D,"36,137",0.92,+++,
151,"Tuesday, Sep 17",boxscore,SEA,,NYY,L,2,11,,77-74,2,5,Gil,Woo,Stroman,3:02,N,"31,668",1.08,-,
152,"Wednesday, Sep 18",boxscore,SEA,,NYY,L,1,2,10,77-75,2,5,Weaver,Snider,Hamilton,3:06,N,"31,674",0.57,--,
153,"Thursday, Sep 19",boxscore,SEA,,NYY,W,3,2,,78-75,2,5,Gilbert,Schmidt,Muñoz,2:42,D,"34,255",0.44,+,
154,"Friday, Sep 20",boxscore,SEA,@,TEX,W,8,2,,79-75,2,5,Kirby,Leiter,,2:44,N,"33,387",0.6,++,
155,"Saturday, Sep 21",boxscore,SEA,@,TEX,W,8,4,,80-75,2,5,Hancock,Chafin,,3:26,N,"39,929",0.8,+++,
156,"Sunday, Sep 22",boxscore,SEA,@,TEX,L-wo,5,6,,80-76,2,5,Yates,Muñoz,,2:28,D,"39,882",1.08,-,
157,"Monday, Sep 23",boxscore,SEA,@,HOU,W,6,1,,81-76,2,4,Miller,Brown,,2:39,N,"34,554",0.94,+,
158,"Tuesday, Sep 24",boxscore,SEA,@,HOU,L,3,4,,81-77,2,5,Valdez,Gilbert,Hader,2:26,N,"38,195",1.6,-,
159,"Wednesday, Sep 25",boxscore,SEA,@,HOU,W,8,1,,82-77,2,4,Kirby,Kikuchi,,2:45,D,"32,219",0.43,+,
160,"Friday, Sep 27",boxscore,SEA,,OAK,W,2,0,,83-77,2,4,Woo,Sears,Taylor,2:26,N,"41,429",0,++,
161,"Saturday, Sep 28",boxscore,SEA,,OAK,W-wo,7,6,10,84-77,2,4,Bazardo,Alexander,,2:57,N,"33,007",0,+++,
162,"Sunday, Sep 29",boxscore,SEA,,OAK,W,6,4,,85-77,2,3.5,Gilbert,Spence,,2:29,D,"42,177",0,++++,
